"date","observer","recorder","island","site","forest.type","transect.id","ground.cover","canopy.height.ft","total.vine.cover","site.notes","herbs","herb.notes","vines","vine.notes","num.adult.spp","num.sapling.spp","num.seedling.spp","num.adults","num.saplings","num.seedlings","num.away.conspp","num.under.conspp","subs_avg","light.avg"
"43146","ef, mf","mf","rota","sasanhaya","mixed_introduced","sasanhaya.44","leaf litter","16","1","pair of bridle white eyes; deer scat; (Canopy Height) the punt of triphasia outweighed the artocarpus and erythrina","wavy leaf basket grass, chromalina","NA, NA","jasminum, abrus, colubrina, mikania","NA, NA, NA, NA",6,3,5,66,6,16,15,7,4,10.125
"43210","mf, blh","blh, mf","guam","sblas","native_limestone","sblas.109","leaf litter","19","0","lots of neiso seedlings & saplings in a gap","chromalina","NA","none","NA",10,3,6,53,15,61,2,74,1,4.375
"43081","mk, mef","mef","guam","sinajana","mixed_introduced","sinajana.40","soil, karst","41","2","180 degree from our original direction (moved bc cement path), less diversity  and closer to road, on a slope, lots of small palm seedlings","ferns, unk herb e","3-4 different species, NA","flagellaria, syngonium angustatum","1, 2",5,2,2,37,3,15,2,16,2,0.375
"43153","ef, mf","mf","rota","sinapalu","mixed_introduced","sinapalu.1804","leaf litter, ferns","16","3",NA,"ferns","NA","passiflora sub, mikania, alixia","NA, NA, NA",16,1,13,49,1,67,16,52,4,10.125
"43146","ef, mf","mf","rota","songsong","leucaena_thicket","songsong.289","rivina","21","1","adult triphasia just outside 2m away","chromalina, rivina, unk herb p, NA","NA, NA, (EF pic) fuzzy, seeds stick to you, 23Feb18 by ECF: dont have pic of this, but it is a common weedy trail species with sharp seeds that stick along a long spike (MF pic) from later transect","passiflora suberosa","NA",3,2,3,102,43,470,5,508,3,57.375
"43146","ef, mf","mf","rota","songsong","leucaena_thicket","songsong.683","leaf litter","25","1","lots of too small leucaena seedlings (>10)","ferns, rivina, mother in law's tounge","NA, NA, NA","flagellaria, colubrina, passiflora sub","NA, NA, NA",5,5,3,72,11,32,5,38,4,14.375
"43149","ef, mf","mf","rota","songsong","mixed_introduced","songsong.718","leaf litter","13","1","very near homes; some scattered trash; transect on a karsty slope; papaya in area; last part of transect a cliff wall so counted trees hanging off cliff; last part of transect a cliff wall so counted trees hanging off cliff; trimble couldn't take 25 m transect point - cliff wall","flagellaria","NA","ferns","NA",7,1,10,46,1,44,18,21,3.66666666666667,4.25
"43150","ef, mf","mf","rota","south","leucaena_thicket","south.12","leaf litter","17","0","more typical leucauna","NA","NA","passiflora sub.","NA",2,1,3,111,1,65,2,64,4,38
"43150","ef, mf","mf","rota","south","leucaena_thicket","south.21","leaf litter","8","0","deer poop - lots","none","NA","none","NA",4,0,1,74,0,1,0,1,3.66666666666667,3.375
"43150","ef, mf","mf","rota","south","leucaena_thicket","south.23","leaf litter","23","0",NA,"none","NA","none","NA",2,2,2,84,7,76,1,82,2.66666666666667,42.625
"43150","EF, MF","MF","rota","south","leucaena_thicket","south.25","leaf litter","13","2",NA,"unk. herb p, chromalina","same as previous rota pt. , shckey seeds, (MF Pic), NA","centrosema pubescens, passiflora suberosa","NA, NA",1,1,2,121,64,113,14,163,4,32
"43150","ef, mf","mf","rota","south","leucaena_thicket","south.40","leaf litter","9","0","deer poop","none","NA","none","NA",5,0,0,151,0,0,NA,NA,3.33333333333333,NA
"43150","ef, mf","mf","rota","south","leucaena_thicket","south.52","leaf litter","17","1","hardly any seedlings - fire prone area","chromalina","NA","passiflora sub.","NA",2,3,4,111,27,21,18,30,3,32.75
"43146","ef, mf","mf","rota","southerntip","leucaena_thicket","southerntip.1","none-rocky soil","13","0","heavily disturbed, looks like bulldozed in the past, rock pile and end of transect","chromalina","NA","none","NA",3,1,1,90,12,1,0,13,2.33333333333333,54.375
"21-Sep-2017","mk, tc","tc","saipan","suicidecliff","mixed_introduced","suicidecliff.25","rivina",NA,NA,NA,"NA","NA","ipomoea, coccinia, alyxia","NA, NA, NA",9,8,4,73,21,57,3,75,3.66666666666667,12.375
"43119","mk, mf","mf","saipan","suicidecliff","scrub_shrub","suicidecliffs.57","ruellia","26","2","lots of bird noises","ruellia, ravina, ferns, chile pepper, sedge, grass, zeuxine fritzii, unk herb k, achyranthes canescense","NA, NA, NA, NA, NA, NA, herb orchid, hairy, reddish stem, hairy, yellow flower, opposite, serrate edges (MK phone and guide), sticky seeds on flower stalk","coccinia grandis, merremia peltata, passiflora suberosa, centrosema pubescens, cardiospermum halicacabum","1, 1, 1, 2, 1",4,2,2,43,20,58,0,78,4,9.625
"43146","ef, mf","mf","rota","teneto","mixed_introduced","teneto.176","pothos","25","3","back half of transect lots of cultivated species","pothos vine, flagellaria, mikania, colubrina, abrus, centrosema pubescens","NA, NA, NA, NA, NA, NA","ferns, pothos","NA, NA",13,8,7,31,19,26,36,9,4,14.625
"43153","ef, mf","mf","rota","teteto","mixed_introduced","teteto.1775","ferns","14","1","deer barking on recording; first part in more open fern/pandanus area; 2nd part in nicer forest w/ ifit and breadfruit","ferns, wavy leaf basket grass, chromalina","NA, NA, NA","mucuna gigantea, jasminum","(ID MF - 1mar18), NA",10,1,7,61,1,75,6,70,3,17.25
"43067","mk, mf","mf","guam","two lovers point","leucaena_thicket","twoloverspoint.14","bare ground and herbaceous","22","3","heavy pig presence; redoing overstory, understory saplings and overstory adults from 28NOV2017 replace 21NOV2017, but understory seedlings from 21NOV2017 remain the same","mallow spp., mimosa pudica","NA, NA","flagellaria, passiflora suberosa, mikania","3, 1, 2",4,3,5,31,16,13,15,14,3.16666666666667,1.25
"43153","ef, mf","mf","rota","west","mixed_introduced","west.1393","ferns, leaf litter","18","1",NA,"ferns, chromolaena","NA, NA","mikania","NA",13,2,17,58,9,90,38,61,2.33333333333333,17.5
"43153","ef, mf","mf","rota","west","mixed_introduced","west.1448","leaf litter","21","1","seems native, not mixed; saw cycads walking in","flagellaria, jasminum","NA, NA","none","NA",15,1,12,56,5,51,20,36,3.66666666666667,2
"43119","mk, mf","mf","saipan","wing beach","scrub_shrub","wingbeach.59","ravina, leaf litter","29","3","heard quite a few different birds, 1 fruit dove","ravina, ferns","NA, NA","abrus, passiflora sub., mileania, merremia peltata, coccinia grandis, antigopon","1, 1, 1, 1, 1, 3",9,3,3,72,12,17,0,29,4,5.125
"3-nov-2017","MK,  TC","TC","guam","yigo","mixed_introduced","yigo.30","leaf litter","29","3",NA,"NA","NA","flagellaria, colubrina","NA, NA",9,4,7,39,7,94,11,90,3.16666666666667,5.875
"43081","mk, mef","mef","guam","yigo","mixed_introduced","yigo.91","rocky soil, leaf litterm ferns","43","1","Flipped 180 degrees bc first direction went towards house, I think eugenia spp. Is polumbus, mallow spp. Outside transect, ixora? Opp. Leaves, disco or ixora seedlings outside transect","ferns","NA","flagellaria","1",9,2,5,63,29,40,13,56,3,0.375
"43089","mk, mef, zc","mef, zc","guam","yigo","mixed_introduced","yigo.93","leaf litter, fern spp.","30","2","light20 measured at 18m instead of 20m","nervilia concolor, ferns","orchid, NA","flagellaria","2",17,8,13,62,13,64,26,51,3.5,1.25
