"","X","uniqueID","island","site","transect","topcolor","bowlcolor","insectorder","numinsects","dateout","datecoll","duration","order_abbrev"
"1797",655,"GuamNblasL1","guam","nblas","L1","r","y","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1798",656,"GuamNblasL1","guam","nblas","L1","r","y","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"1799",657,"GuamNblasL1","guam","nblas","L1","r","y","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"1800",658,"GuamNblasL1","guam","nblas","L1","r","y","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1801",659,"GuamNblasL1","guam","nblas","L1","r","y","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1802",660,"GuamNblasL1","guam","nblas","L1","r","y","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1803",661,"GuamNblasL1","guam","nblas","L1","r","y","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1804",662,"GuamNblasL1","guam","nblas","L1","r","y","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1805",663,"GuamNblasL1","guam","nblas","L1","r","y","other",0,2018-01-12,2018-01-15,3,"other"
"1806",665,"GuamNblasL1","guam","nblas","L1","r","w","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"1807",666,"GuamNblasL1","guam","nblas","L1","r","w","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"1808",667,"GuamNblasL1","guam","nblas","L1","r","w","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"1809",668,"GuamNblasL1","guam","nblas","L1","r","w","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1810",669,"GuamNblasL1","guam","nblas","L1","r","w","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"1811",670,"GuamNblasL1","guam","nblas","L1","r","w","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"1812",671,"GuamNblasL1","guam","nblas","L1","r","w","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1813",672,"GuamNblasL1","guam","nblas","L1","r","w","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1814",673,"GuamNblasL1","guam","nblas","L1","r","w","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1815",674,"GuamNblasL1","guam","nblas","L1","r","w","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1816",675,"GuamNblasL1","guam","nblas","L1","r","w","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1817",676,"GuamNblasL1","guam","nblas","L1","r","w","other",0,2018-01-12,2018-01-15,3,"other"
"1818",677,"GuamNblasL1","guam","nblas","L1","b","r","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"1819",678,"GuamNblasL1","guam","nblas","L1","b","r","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"1820",679,"GuamNblasL1","guam","nblas","L1","b","r","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"1821",681,"GuamNblasL1","guam","nblas","L1","b","r","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1822",682,"GuamNblasL1","guam","nblas","L1","b","r","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"1823",683,"GuamNblasL1","guam","nblas","L1","b","r","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"1824",684,"GuamNblasL1","guam","nblas","L1","b","r","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1825",685,"GuamNblasL1","guam","nblas","L1","b","r","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1826",686,"GuamNblasL1","guam","nblas","L1","b","r","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1827",687,"GuamNblasL1","guam","nblas","L1","b","r","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1828",688,"GuamNblasL1","guam","nblas","L1","b","r","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1829",689,"GuamNblasL1","guam","nblas","L1","b","r","other",0,2018-01-12,2018-01-15,3,"other"
"1830",690,"GuamNblasL1","guam","nblas","L1","b","b","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"1831",691,"GuamNblasL1","guam","nblas","L1","b","b","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"1832",693,"GuamNblasL1","guam","nblas","L1","b","b","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"1833",694,"GuamNblasL1","guam","nblas","L1","b","b","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1834",695,"GuamNblasL1","guam","nblas","L1","b","b","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"1835",696,"GuamNblasL1","guam","nblas","L1","b","b","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"1836",697,"GuamNblasL1","guam","nblas","L1","b","b","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1837",698,"GuamNblasL1","guam","nblas","L1","b","b","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1838",699,"GuamNblasL1","guam","nblas","L1","b","b","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1839",700,"GuamNblasL1","guam","nblas","L1","b","b","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1840",702,"GuamNblasL1","guam","nblas","L1","b","b","other",0,2018-01-12,2018-01-15,3,"other"
"1841",704,"GuamNblasL1","guam","nblas","L1","b","y","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"1842",705,"GuamNblasL1","guam","nblas","L1","b","y","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"1843",706,"GuamNblasL1","guam","nblas","L1","b","y","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"1844",707,"GuamNblasL1","guam","nblas","L1","b","y","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1845",708,"GuamNblasL1","guam","nblas","L1","b","y","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"1846",709,"GuamNblasL1","guam","nblas","L1","b","y","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"1847",710,"GuamNblasL1","guam","nblas","L1","b","y","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1848",711,"GuamNblasL1","guam","nblas","L1","b","y","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1849",712,"GuamNblasL1","guam","nblas","L1","b","y","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1850",713,"GuamNblasL1","guam","nblas","L1","b","y","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1851",714,"GuamNblasL1","guam","nblas","L1","b","y","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1852",715,"GuamNblasL1","guam","nblas","L1","b","y","other",0,2018-01-12,2018-01-15,3,"other"
"1853",716,"GuamNblasL1","guam","nblas","L1","b","w","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"1854",717,"GuamNblasL1","guam","nblas","L1","b","w","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"1855",718,"GuamNblasL1","guam","nblas","L1","b","w","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"1856",719,"GuamNblasL1","guam","nblas","L1","b","w","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"1857",720,"GuamNblasL1","guam","nblas","L1","b","w","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1858",722,"GuamNblasL1","guam","nblas","L1","b","w","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"1859",723,"GuamNblasL1","guam","nblas","L1","b","w","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1860",724,"GuamNblasL1","guam","nblas","L1","b","w","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1861",725,"GuamNblasL1","guam","nblas","L1","b","w","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1862",726,"GuamNblasL1","guam","nblas","L1","b","w","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1863",727,"GuamNblasL1","guam","nblas","L1","b","w","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1864",728,"GuamNblasL1","guam","nblas","L1","b","w","other",0,2018-01-12,2018-01-15,3,"other"
"1865",730,"GuamNblasL1","guam","nblas","L1","y","r","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"1866",731,"GuamNblasL1","guam","nblas","L1","y","r","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"1867",732,"GuamNblasL1","guam","nblas","L1","y","r","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"1868",733,"GuamNblasL1","guam","nblas","L1","y","r","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1869",734,"GuamNblasL1","guam","nblas","L1","y","r","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"1870",735,"GuamNblasL1","guam","nblas","L1","y","r","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"1871",736,"GuamNblasL1","guam","nblas","L1","y","r","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1872",737,"GuamNblasL1","guam","nblas","L1","y","r","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1873",738,"GuamNblasL1","guam","nblas","L1","y","r","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1874",739,"GuamNblasL1","guam","nblas","L1","y","r","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1875",740,"GuamNblasL1","guam","nblas","L1","y","r","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1876",741,"GuamNblasL1","guam","nblas","L1","y","r","other",0,2018-01-12,2018-01-15,3,"other"
"1877",742,"GuamNblasL1","guam","nblas","L1","y","b","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"1878",743,"GuamNblasL1","guam","nblas","L1","y","b","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"1879",744,"GuamNblasL1","guam","nblas","L1","y","b","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"1880",746,"GuamNblasL1","guam","nblas","L1","y","b","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1881",747,"GuamNblasL1","guam","nblas","L1","y","b","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"1882",748,"GuamNblasL1","guam","nblas","L1","y","b","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"1883",749,"GuamNblasL1","guam","nblas","L1","y","b","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1884",750,"GuamNblasL1","guam","nblas","L1","y","b","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1885",751,"GuamNblasL1","guam","nblas","L1","y","b","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1886",752,"GuamNblasL1","guam","nblas","L1","y","b","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1887",753,"GuamNblasL1","guam","nblas","L1","y","b","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1888",754,"GuamNblasL1","guam","nblas","L1","y","b","other",0,2018-01-12,2018-01-15,3,"other"
"1889",755,"GuamNblasL1","guam","nblas","L1","y","y","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"1890",757,"GuamNblasL1","guam","nblas","L1","y","y","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"1891",758,"GuamNblasL1","guam","nblas","L1","y","y","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"1892",759,"GuamNblasL1","guam","nblas","L1","y","y","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1893",760,"GuamNblasL1","guam","nblas","L1","y","y","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"1894",761,"GuamNblasL1","guam","nblas","L1","y","y","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"1895",762,"GuamNblasL1","guam","nblas","L1","y","y","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1896",763,"GuamNblasL1","guam","nblas","L1","y","y","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1897",764,"GuamNblasL1","guam","nblas","L1","y","y","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1898",765,"GuamNblasL1","guam","nblas","L1","y","y","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1899",766,"GuamNblasL1","guam","nblas","L1","y","y","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1900",767,"GuamNblasL1","guam","nblas","L1","y","y","other",0,2018-01-12,2018-01-15,3,"other"
"1901",769,"GuamNblasL1","guam","nblas","L1","y","w","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"1902",770,"GuamNblasL1","guam","nblas","L1","y","w","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"1903",771,"GuamNblasL1","guam","nblas","L1","y","w","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"1904",772,"GuamNblasL1","guam","nblas","L1","y","w","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1905",773,"GuamNblasL1","guam","nblas","L1","y","w","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"1906",775,"GuamNblasL1","guam","nblas","L1","y","w","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1907",776,"GuamNblasL1","guam","nblas","L1","y","w","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1908",777,"GuamNblasL1","guam","nblas","L1","y","w","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1909",778,"GuamNblasL1","guam","nblas","L1","y","w","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1910",779,"GuamNblasL1","guam","nblas","L1","y","w","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1911",780,"GuamNblasL1","guam","nblas","L1","y","w","other",0,2018-01-12,2018-01-15,3,"other"
"1912",781,"GuamNblasL1","guam","nblas","L1","w","r","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"1913",782,"GuamNblasL1","guam","nblas","L1","w","r","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"1914",783,"GuamNblasL1","guam","nblas","L1","w","r","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"1915",785,"GuamNblasL1","guam","nblas","L1","w","r","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1916",786,"GuamNblasL1","guam","nblas","L1","w","r","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"1917",787,"GuamNblasL1","guam","nblas","L1","w","r","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"1918",788,"GuamNblasL1","guam","nblas","L1","w","r","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1919",789,"GuamNblasL1","guam","nblas","L1","w","r","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1920",790,"GuamNblasL1","guam","nblas","L1","w","r","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1921",791,"GuamNblasL1","guam","nblas","L1","w","r","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1922",792,"GuamNblasL1","guam","nblas","L1","w","r","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1923",793,"GuamNblasL1","guam","nblas","L1","w","r","other",0,2018-01-12,2018-01-15,3,"other"
"1924",795,"GuamNblasL1","guam","nblas","L1","w","b","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"1925",796,"GuamNblasL1","guam","nblas","L1","w","b","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"1926",797,"GuamNblasL1","guam","nblas","L1","w","b","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"1927",798,"GuamNblasL1","guam","nblas","L1","w","b","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1928",799,"GuamNblasL1","guam","nblas","L1","w","b","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"1929",801,"GuamNblasL1","guam","nblas","L1","w","b","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1930",802,"GuamNblasL1","guam","nblas","L1","w","b","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1931",803,"GuamNblasL1","guam","nblas","L1","w","b","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1932",804,"GuamNblasL1","guam","nblas","L1","w","b","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1933",805,"GuamNblasL1","guam","nblas","L1","w","b","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1934",806,"GuamNblasL1","guam","nblas","L1","w","b","other",0,2018-01-12,2018-01-15,3,"other"
"1935",807,"GuamNblasL1","guam","nblas","L1","w","y","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"1936",808,"GuamNblasL1","guam","nblas","L1","w","y","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"1937",809,"GuamNblasL1","guam","nblas","L1","w","y","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"1938",811,"GuamNblasL1","guam","nblas","L1","w","y","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1939",812,"GuamNblasL1","guam","nblas","L1","w","y","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"1940",813,"GuamNblasL1","guam","nblas","L1","w","y","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"1941",814,"GuamNblasL1","guam","nblas","L1","w","y","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1942",815,"GuamNblasL1","guam","nblas","L1","w","y","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1943",816,"GuamNblasL1","guam","nblas","L1","w","y","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1944",817,"GuamNblasL1","guam","nblas","L1","w","y","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1945",818,"GuamNblasL1","guam","nblas","L1","w","y","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1946",819,"GuamNblasL1","guam","nblas","L1","w","y","other",0,2018-01-12,2018-01-15,3,"other"
"1947",820,"GuamNblasL1","guam","nblas","L1","w","w","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"1948",821,"GuamNblasL1","guam","nblas","L1","w","w","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"1949",822,"GuamNblasL1","guam","nblas","L1","w","w","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"1950",824,"GuamNblasL1","guam","nblas","L1","w","w","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1951",825,"GuamNblasL1","guam","nblas","L1","w","w","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"1952",826,"GuamNblasL1","guam","nblas","L1","w","w","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"1953",827,"GuamNblasL1","guam","nblas","L1","w","w","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1954",828,"GuamNblasL1","guam","nblas","L1","w","w","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1955",829,"GuamNblasL1","guam","nblas","L1","w","w","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1956",830,"GuamNblasL1","guam","nblas","L1","w","w","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1957",831,"GuamNblasL1","guam","nblas","L1","w","w","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1958",832,"GuamNblasL1","guam","nblas","L1","w","w","other",0,2018-01-12,2018-01-15,3,"other"
"1959",834,"GuamNblasL2","guam","nblas","L2","r","y","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"1960",835,"GuamNblasL2","guam","nblas","L2","r","y","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"1961",837,"GuamNblasL2","guam","nblas","L2","r","y","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1962",838,"GuamNblasL2","guam","nblas","L2","r","y","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"1963",839,"GuamNblasL2","guam","nblas","L2","r","y","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"1964",840,"GuamNblasL2","guam","nblas","L2","r","y","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1965",841,"GuamNblasL2","guam","nblas","L2","r","y","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1966",842,"GuamNblasL2","guam","nblas","L2","r","y","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1967",843,"GuamNblasL2","guam","nblas","L2","r","y","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1968",844,"GuamNblasL2","guam","nblas","L2","r","y","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1969",845,"GuamNblasL2","guam","nblas","L2","r","y","other",0,2018-01-12,2018-01-15,3,"other"
"1970",846,"GuamNblasL2","guam","nblas","L2","r","r","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"1971",847,"GuamNblasL2","guam","nblas","L2","r","r","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"1972",848,"GuamNblasL2","guam","nblas","L2","r","r","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"1973",850,"GuamNblasL2","guam","nblas","L2","r","r","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1974",851,"GuamNblasL2","guam","nblas","L2","r","r","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"1975",852,"GuamNblasL2","guam","nblas","L2","r","r","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"1976",853,"GuamNblasL2","guam","nblas","L2","r","r","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1977",854,"GuamNblasL2","guam","nblas","L2","r","r","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1978",855,"GuamNblasL2","guam","nblas","L2","r","r","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1979",856,"GuamNblasL2","guam","nblas","L2","r","r","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1980",857,"GuamNblasL2","guam","nblas","L2","r","r","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1981",858,"GuamNblasL2","guam","nblas","L2","r","r","other",0,2018-01-12,2018-01-15,3,"other"
"1982",860,"GuamNblasL2","guam","nblas","L2","r","w","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"1983",863,"GuamNblasL2","guam","nblas","L2","r","w","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1984",864,"GuamNblasL2","guam","nblas","L2","r","w","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"1985",866,"GuamNblasL2","guam","nblas","L2","r","w","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1986",869,"GuamNblasL2","guam","nblas","L2","r","w","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1987",870,"GuamNblasL2","guam","nblas","L2","r","w","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1988",871,"GuamNblasL2","guam","nblas","L2","r","w","other",0,2018-01-12,2018-01-15,3,"other"
"1989",872,"GuamNblasL2","guam","nblas","L2","r","b","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"1990",873,"GuamNblasL2","guam","nblas","L2","r","b","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"1991",874,"GuamNblasL2","guam","nblas","L2","r","b","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"1992",876,"GuamNblasL2","guam","nblas","L2","r","b","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"1993",879,"GuamNblasL2","guam","nblas","L2","r","b","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"1994",880,"GuamNblasL2","guam","nblas","L2","r","b","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"1995",881,"GuamNblasL2","guam","nblas","L2","r","b","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"1996",882,"GuamNblasL2","guam","nblas","L2","r","b","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"1997",883,"GuamNblasL2","guam","nblas","L2","r","b","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"1998",884,"GuamNblasL2","guam","nblas","L2","r","b","other",0,2018-01-12,2018-01-15,3,"other"
"1999",886,"GuamNblasL2","guam","nblas","L2","w","b","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"2000",887,"GuamNblasL2","guam","nblas","L2","w","b","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"2001",888,"GuamNblasL2","guam","nblas","L2","w","b","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"2002",889,"GuamNblasL2","guam","nblas","L2","w","b","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"2003",890,"GuamNblasL2","guam","nblas","L2","w","b","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"2004",891,"GuamNblasL2","guam","nblas","L2","w","b","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"2005",892,"GuamNblasL2","guam","nblas","L2","w","b","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"2006",893,"GuamNblasL2","guam","nblas","L2","w","b","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"2007",894,"GuamNblasL2","guam","nblas","L2","w","b","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"2008",895,"GuamNblasL2","guam","nblas","L2","w","b","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"2009",896,"GuamNblasL2","guam","nblas","L2","w","b","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"2010",897,"GuamNblasL2","guam","nblas","L2","w","b","other",0,2018-01-12,2018-01-15,3,"other"
"2011",898,"GuamNblasL2","guam","nblas","L2","w","y","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"2012",899,"GuamNblasL2","guam","nblas","L2","w","y","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"2013",901,"GuamNblasL2","guam","nblas","L2","w","y","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"2014",902,"GuamNblasL2","guam","nblas","L2","w","y","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"2015",903,"GuamNblasL2","guam","nblas","L2","w","y","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"2016",904,"GuamNblasL2","guam","nblas","L2","w","y","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"2017",905,"GuamNblasL2","guam","nblas","L2","w","y","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"2018",906,"GuamNblasL2","guam","nblas","L2","w","y","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"2019",907,"GuamNblasL2","guam","nblas","L2","w","y","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"2020",908,"GuamNblasL2","guam","nblas","L2","w","y","Partial",0,2018-01-12,2018-01-15,3,"Parti"
"2021",909,"GuamNblasL2","guam","nblas","L2","w","y","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"2022",910,"GuamNblasL2","guam","nblas","L2","w","y","other",0,2018-01-12,2018-01-15,3,"other"
"2023",911,"GuamNblasL2","guam","nblas","L2","w","w","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"2024",912,"GuamNblasL2","guam","nblas","L2","w","w","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"2025",913,"GuamNblasL2","guam","nblas","L2","w","w","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"2026",914,"GuamNblasL2","guam","nblas","L2","w","w","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"2027",915,"GuamNblasL2","guam","nblas","L2","w","w","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
